product,vendor,edition,morefields
accountsservice,accountsservice_project,*,*
accumulo,apache,*,*
accupos,accupos,*,*
accurate_reconciliation,fiserv,*,*
accurev,jenkins,*,*
acdsee,acdsee,*,free
ace-advanced_business_application_programming,pwc,*,*
ace_application_control_engine_module_a1,cisco,*,*
ace_application_control_engine_module_a2,cisco,*,*
ace_application_control_engine_module_a3,cisco,*,*
ace_application_control_engine_module_a4,cisco,*,*
ace_application_control_engine_module_a5,cisco,*,*
aceaxe_plus,labf,*,*
aceide,aceide_project,*,*
acer_portal,acer,*,*
acf_fronted_display,advancedcustomfields,*,*
acf_to_rest_api,acf_to_rest_api_project,*,*
aci_multi-site_orchestrator,cisco,*,*
acmailer,seeds,*,*
acmailer,acmailer,*,*
acmailer_db,acmailer,*,*
acontent,atutor,*,*
acos_web_application_firewall,a10networks,*,*
acrn,projectacrn,*,*
acrobat,adobe,*,*
acrobat_dc,adobe,*,classic
acrobat_dc,adobe,*,continuous
acrobat_reader,adobe,*,*
acrobat_reader_dc,adobe,*,continuous
acrobat_reader_dc,adobe,*,classic
acselerator_architect,selinc,*,*
actfax,actfax,*,*
action_view,action_view_project,*,*
actionpack_page-caching,rubyonrails,*,*
actionview,rubyonrails,*,*
active_choices,jenkins,*,*
active_directory,jenkins,*,*
active_directory_authentication_library,microsoft,*,*
active_iq,netapp,*,*
active_iq_performance_analytics_services,netapp,*,*
active_iq_unified_manager,netapp,*,*
active_iq_unified_manager_for_vmware_vsphere,netapp,*,*
active_library_explorer,ericsson,*,*
active_management_technology,intel,*,*
active_management_technology_firmware,intel,*,*
active_management_technology_software_development_kit,intel,*,*
active_protection_system,lenovo,*,*
active_record_session_store,rubyonrails,*,*
active_resource,rubyonrails,*,*
active_response,mcafee,*,*
activecampaign,activecampaign,*,*
activematrix_bpm,tibco,*,*
activematrix_business_process_management,tibco,*,*
activematrix_business_process_mangement,tibco,*,*
activematrix_businessworks,tibco,*,*
activematrix_businessworks_distribution_for_tibco_silver_fabric,tibco,*,*
activematrix_policy_director,tibco,*,*
activematrix_service_bus,tibco,*,*
activematrix_service_grid,tibco,*,*
activemq,apache,*,*
activemq_apollo,apache,*,*
activemq_artemis,apache,*,*
activepdf_toolkit,activepdf,*,*
activepresenter,atomisystems,*,*
activespaces,tibco,*,developer
activespaces,tibco,*,community
activespaces,tibco,*,enterprise
activesupport,activesupport_project,*,*
activetouch_general_plugin_container,cisco,*,*
activity,drupal,*,*
activity_log,activity_log_project,*,*
activity_streams,atlassian,*,*
actix-codec,actix,*,*
actix-http,actix,*,*
actix-service,actix,*,*
actix-utils,actix,*,*
acu_wizard,intel,*,*
acutoweb,microfocus,*,*
acymailing,acymailing,*,*
acymailing,acyba,*,*
acysms,acyba,*,*
ad\/ldap_connector,auth0,*,*
ad_buttons,ad_buttons_project,*,*
ad_inserter,ad_inserter_project,*,*
ad_self_password_reset,dovestones,*,*
adamvr-geoip-lite,adamvr-geoip-lite_project,*,*
adaptive_access_manager,oracle,*,*
adaptive_authentication_\(on_premise\),rsa,*,*
adaptive_communication_environment,vanderbilt,*,*
adaptive_extensions,sap,*,*
adaptive_images,nevma,*,*
adaptive_payments_sdk,paypal,*,*
adaptive_security_appliance,cisco,*,*
adaptive_security_appliance_software,cisco,*,*
adaptive_security_device_manager,cisco,*,*
adaptive_security_virtual_appliance,cisco,*,*
adaptive_server_enterprise,sap,*,*
adaptive_server_enterprise,sybase,*,*
adaptive_server_enterprise_backup_server,sap,*,*
adaptive_server_enterprise_cockpit,sap,*,*
adas,prise,*,*
adas_ie,intel,*,*
adaware_antivirus,claranova,*,*
adb-driver,adb-driver_project,*,*
adblock,adblock,*,*
adblock,getadblock,*,*
adblock_plus,adblockplus,*,*
add-apt-repository,canonical,*,*
